text,condtion,modal,seat,catch_trial_answer_correct,order,request,check1,catch_trial,image,mood,audio,workerid,check2
You might get one.,1,might,window,1,1,./stim/text/text-1.png,./stim/images/exposure_90_5.png,1,./stim/images/exposure_25_5.png,optimist,./stim/audio/happy_might1_s1.mp3,5,./stim/images/exposure_25_5.png
You'll probably get one.,1,probably,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_60_2.png,0,./stim/images/exposure_60_2.png,optimist,./stim/audio/happy_probably1_s1.mp3,5,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,-1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s1.mp3,5,./stim/images/exposure_60_1.png
You'll probably get one.,1,probably,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_60_1.png,0,./stim/images/exposure_60_1.png,optimist,./stim/audio/happy_probably1_s1.mp3,5,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_60_10.png,optimist,./stim/audio/happy_probably1_s1.mp3,5,./stim/images/exposure_60_10.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_2.png,0,./stim/images/exposure_75_2.png,optimist,./stim/audio/happy_might2_s1.mp3,5,./stim/images/exposure_10_2.png
You might get one.,1,might,aisle,-1,1,./stim/text/text-2.png,./stim/images/exposure_10_6.png,0,./stim/images/exposure_75_6.png,optimist,./stim/audio/happy_might2_s1.mp3,5,./stim/images/exposure_75_6.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_6.png,0,./stim/images/exposure_25_6.png,optimist,./stim/audio/happy_might1_s1.mp3,5,./stim/images/exposure_25_6.png
You'll probably get one.,1,probably,aisle,-1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_40_1.png,optimist,./stim/audio/happy_probably2_s1.mp3,5,./stim/images/exposure_40_1.png
You'll probably get one.,1,probably,aisle,-1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_40_6.png,optimist,./stim/audio/happy_probably2_s1.mp3,5,./stim/images/exposure_40_6.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_1.png,0,./stim/images/exposure_25_1.png,optimist,./stim/audio/happy_might1_s1.mp3,5,./stim/images/exposure_25_1.png
You'll probably get one.,1,probably,window,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_60_5.png,optimist,./stim/audio/happy_probably1_s1.mp3,5,./stim/images/exposure_60_5.png
You'll get one.,1,bare,window,1,1,./stim/text/text-1.png,./stim/images/exposure_60_10.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s1.mp3,5,./stim/images/prob_100_1.png
You might get one.,1,might,window,1,0,./stim/text/text-1.png,./stim/images/exposure_25_10.png,1,./stim/images/exposure_25_10.png,optimist,./stim/audio/happy_might1_s1.mp3,5,./stim/images/exposure_90_10.png
You might get one.,1,might,aisle,1,1,./stim/text/text-2.png,./stim/images/exposure_10_10.png,1,./stim/images/exposure_75_10.png,optimist,./stim/audio/happy_might2_s1.mp3,5,./stim/images/exposure_75_10.png
You might get one.,1,might,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_25_2.png,0,./stim/images/exposure_25_2.png,optimist,./stim/audio/happy_might1_s1.mp3,5,./stim/images/exposure_90_2.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_1.png,0,./stim/images/exposure_75_1.png,optimist,./stim/audio/happy_might2_s1.mp3,5,./stim/images/exposure_10_1.png
You'll probably get one.,1,probably,aisle,1,0,./stim/text/text-2.png,./stim/images/exposure_40_10.png,1,./stim/images/exposure_40_10.png,optimist,./stim/audio/happy_probably2_s1.mp3,5,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_40_2.png,0,./stim/images/exposure_40_2.png,optimist,./stim/audio/happy_probably2_s1.mp3,5,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,-1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s1.mp3,5,./stim/images/exposure_60_6.png
You might get one.,1,might,aisle,1,0,./stim/text/text-2.png,./stim/images/exposure_75_5.png,1,./stim/images/exposure_75_5.png,optimist,./stim/audio/happy_might2_s1.mp3,5,./stim/images/exposure_10_5.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_5.png,optimist,./stim/audio/happy_probably1_s2.mp3,6,./stim/images/exposure_60_5.png
You'll probably get one.,1,probably,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_40_5.png,0,./stim/images/exposure_40_5.png,optimist,./stim/audio/happy_probably2_s2.mp3,6,./stim/images/prob_100_1.png
You might get one.,1,might,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_25_10.png,0,./stim/images/exposure_25_10.png,optimist,./stim/audio/happy_might1_s2.mp3,6,./stim/images/exposure_90_10.png
You'll get one.,1,bare,window,-1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,6,./stim/images/exposure_60_10.png
You might get one.,1,might,aisle,1,1,./stim/text/text-2.png,./stim/images/exposure_10_7.png,1,./stim/images/exposure_75_7.png,optimist,./stim/audio/happy_might2_s2.mp3,6,./stim/images/exposure_75_7.png
You might get one.,1,might,window,1,1,./stim/text/text-1.png,./stim/images/exposure_90_7.png,1,./stim/images/exposure_25_7.png,optimist,./stim/audio/happy_might1_s2.mp3,6,./stim/images/exposure_25_7.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_5.png,0,./stim/images/exposure_25_5.png,optimist,./stim/audio/happy_might1_s2.mp3,6,./stim/images/exposure_25_5.png
You'll probably get one.,1,probably,aisle,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_40_9.png,optimist,./stim/audio/happy_probably2_s2.mp3,6,./stim/images/exposure_40_9.png
You'll probably get one.,1,probably,aisle,-1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_40_10.png,optimist,./stim/audio/happy_probably2_s2.mp3,6,./stim/images/exposure_40_10.png
You might get one.,1,might,aisle,1,0,./stim/text/text-2.png,./stim/images/exposure_75_9.png,1,./stim/images/exposure_75_9.png,optimist,./stim/audio/happy_might2_s2.mp3,6,./stim/images/exposure_10_9.png
You might get one.,1,might,aisle,-1,1,./stim/text/text-2.png,./stim/images/exposure_10_5.png,0,./stim/images/exposure_75_5.png,optimist,./stim/audio/happy_might2_s2.mp3,6,./stim/images/exposure_75_5.png
You'll probably get one.,1,probably,window,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_60_9.png,optimist,./stim/audio/happy_probably1_s2.mp3,6,./stim/images/exposure_60_9.png
You might get one.,1,might,window,1,1,./stim/text/text-1.png,./stim/images/exposure_90_9.png,1,./stim/images/exposure_25_9.png,optimist,./stim/audio/happy_might1_s2.mp3,6,./stim/images/exposure_25_9.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_4.png,0,./stim/images/exposure_75_4.png,optimist,./stim/audio/happy_might2_s2.mp3,6,./stim/images/exposure_10_4.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_4.png,optimist,./stim/audio/happy_probably1_s2.mp3,6,./stim/images/exposure_60_4.png
You'll get one.,1,bare,window,1,1,./stim/text/text-1.png,./stim/images/exposure_60_7.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,6,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_40_4.png,0,./stim/images/exposure_40_4.png,optimist,./stim/audio/happy_probably2_s2.mp3,6,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_60_4.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,6,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_60_5.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,6,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,1,1,./stim/text/text-1.png,./stim/images/exposure_60_9.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,6,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,aisle,1,0,./stim/text/text-2.png,./stim/images/exposure_40_7.png,1,./stim/images/exposure_40_7.png,optimist,./stim/audio/happy_probably2_s2.mp3,6,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,1,0,./stim/text/text-1.png,./stim/images/exposure_60_7.png,1,./stim/images/exposure_60_7.png,optimist,./stim/audio/happy_probably1_s2.mp3,6,./stim/images/prob_100_1.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_4.png,0,./stim/images/exposure_25_4.png,optimist,./stim/audio/happy_might1_s2.mp3,6,./stim/images/exposure_25_4.png
You might get one.,1,might,aisle,-1,1,./stim/text/text-2.png,./stim/images/exposure_10_10.png,0,./stim/images/exposure_75_10.png,optimist,./stim/audio/happy_might2_s2.mp3,6,./stim/images/exposure_75_10.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_10.png,optimist,./stim/audio/happy_probably1_s2.mp3,6,./stim/images/exposure_60_10.png
You'll probably get one.,1,probably,aisle,-1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_40_3.png,optimist,./stim/audio/happy_probably2_s2.mp3,7,./stim/images/exposure_40_3.png
You'll probably get one.,1,probably,aisle,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_40_6.png,optimist,./stim/audio/happy_probably2_s2.mp3,7,./stim/images/exposure_40_6.png
You'll probably get one.,1,probably,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_40_7.png,0,./stim/images/exposure_40_7.png,optimist,./stim/audio/happy_probably2_s2.mp3,7,./stim/images/prob_100_1.png
You might get one.,1,might,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_25_1.png,0,./stim/images/exposure_25_1.png,optimist,./stim/audio/happy_might1_s2.mp3,7,./stim/images/exposure_90_1.png
You'll get one.,1,bare,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_60_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,7,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,1,0,./stim/text/text-1.png,./stim/images/exposure_60_8.png,1,./stim/images/exposure_60_8.png,optimist,./stim/audio/happy_probably1_s2.mp3,7,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_60_3.png,0,./stim/images/exposure_60_3.png,optimist,./stim/audio/happy_probably1_s2.mp3,7,./stim/images/prob_100_1.png
You might get one.,1,might,aisle,1,0,./stim/text/text-2.png,./stim/images/exposure_75_8.png,1,./stim/images/exposure_75_8.png,optimist,./stim/audio/happy_might2_s2.mp3,7,./stim/images/exposure_10_8.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_1.png,0,./stim/images/exposure_75_1.png,optimist,./stim/audio/happy_might2_s2.mp3,7,./stim/images/exposure_10_1.png
You might get one.,1,might,aisle,1,1,./stim/text/text-2.png,./stim/images/exposure_10_6.png,1,./stim/images/exposure_75_6.png,optimist,./stim/audio/happy_might2_s2.mp3,7,./stim/images/exposure_75_6.png
You'll probably get one.,1,probably,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_60_7.png,0,./stim/images/exposure_60_7.png,optimist,./stim/audio/happy_probably1_s2.mp3,7,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_40_1.png,0,./stim/images/exposure_40_1.png,optimist,./stim/audio/happy_probably2_s2.mp3,7,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_60_1.png,0,./stim/images/exposure_60_1.png,optimist,./stim/audio/happy_probably1_s2.mp3,7,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,-1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,7,./stim/images/exposure_60_7.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_7.png,0,./stim/images/exposure_25_7.png,optimist,./stim/audio/happy_might1_s2.mp3,7,./stim/images/exposure_25_7.png
You'll get one.,1,bare,window,1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,7,./stim/images/exposure_60_6.png
You'll get one.,1,bare,window,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,7,./stim/images/exposure_60_8.png
You might get one.,1,might,window,1,0,./stim/text/text-1.png,./stim/images/exposure_25_8.png,1,./stim/images/exposure_25_8.png,optimist,./stim/audio/happy_might1_s2.mp3,7,./stim/images/exposure_90_8.png
You'll probably get one.,1,probably,aisle,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_40_8.png,optimist,./stim/audio/happy_probably2_s2.mp3,7,./stim/images/exposure_40_8.png
You'll get one.,1,bare,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_60_3.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,7,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_60_6.png,optimist,./stim/audio/happy_probably1_s2.mp3,7,./stim/images/exposure_60_6.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_7.png,0,./stim/images/exposure_75_7.png,optimist,./stim/audio/happy_might2_s2.mp3,7,./stim/images/exposure_10_7.png
You might get one.,1,might,window,1,0,./stim/text/text-1.png,./stim/images/exposure_25_6.png,1,./stim/images/exposure_25_6.png,optimist,./stim/audio/happy_might1_s2.mp3,7,./stim/images/exposure_90_6.png
You might get one.,1,might,aisle,-1,1,./stim/text/text-2.png,./stim/images/exposure_10_3.png,0,./stim/images/exposure_75_3.png,optimist,./stim/audio/happy_might2_s2.mp3,7,./stim/images/exposure_75_3.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_3.png,0,./stim/images/exposure_25_3.png,optimist,./stim/audio/happy_might1_s2.mp3,7,./stim/images/exposure_25_3.png
You might get one.,1,might,window,1,0,./stim/text/text-1.png,./stim/images/exposure_25_8.png,1,./stim/images/exposure_25_8.png,optimist,./stim/audio/happy_might1_s1.mp3,8,./stim/images/exposure_90_8.png
You'll get one.,1,bare,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_60_4.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s1.mp3,8,./stim/images/prob_100_1.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_4.png,0,./stim/images/exposure_25_4.png,optimist,./stim/audio/happy_might1_s1.mp3,8,./stim/images/exposure_25_4.png
You might get one.,1,might,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_25_5.png,0,./stim/images/exposure_25_5.png,optimist,./stim/audio/happy_might1_s1.mp3,8,./stim/images/exposure_90_5.png
You'll get one.,1,bare,window,-1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s1.mp3,8,./stim/images/exposure_60_5.png
You'll probably get one.,1,probably,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_60_4.png,0,./stim/images/exposure_60_4.png,optimist,./stim/audio/happy_probably1_s1.mp3,8,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,0,1,./stim/text/text-1.png,./stim/images/exposure_60_8.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s1.mp3,8,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_5.png,optimist,./stim/audio/happy_probably1_s1.mp3,8,./stim/images/exposure_60_5.png
You might get one.,1,might,aisle,0,0,./stim/text/text-2.png,./stim/images/exposure_75_2.png,1,./stim/images/exposure_75_2.png,optimist,./stim/audio/happy_might2_s1.mp3,8,./stim/images/exposure_10_2.png
You might get one.,1,might,aisle,0,1,./stim/text/text-2.png,./stim/images/exposure_10_8.png,1,./stim/images/exposure_75_8.png,optimist,./stim/audio/happy_might2_s1.mp3,8,./stim/images/exposure_75_8.png
You'll probably get one.,1,probably,window,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_60_8.png,optimist,./stim/audio/happy_probably1_s1.mp3,8,./stim/images/exposure_60_8.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_1.png,optimist,./stim/audio/happy_probably1_s1.mp3,8,./stim/images/exposure_60_1.png
You might get one.,1,might,aisle,-1,1,./stim/text/text-2.png,./stim/images/exposure_10_4.png,0,./stim/images/exposure_75_4.png,optimist,./stim/audio/happy_might2_s1.mp3,8,./stim/images/exposure_75_4.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_1.png,0,./stim/images/exposure_25_1.png,optimist,./stim/audio/happy_might1_s1.mp3,8,./stim/images/exposure_25_1.png
You'll probably get one.,1,probably,aisle,0,0,./stim/text/text-2.png,./stim/images/exposure_40_2.png,1,./stim/images/exposure_40_2.png,optimist,./stim/audio/happy_probably2_s1.mp3,8,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,1,1,./stim/text/text-1.png,./stim/images/exposure_60_2.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s1.mp3,8,./stim/images/prob_100_1.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_5.png,0,./stim/images/exposure_75_5.png,optimist,./stim/audio/happy_might2_s1.mp3,8,./stim/images/exposure_10_5.png
You'll probably get one.,1,probably,window,0,0,./stim/text/text-1.png,./stim/images/exposure_60_2.png,1,./stim/images/exposure_60_2.png,optimist,./stim/audio/happy_probably1_s1.mp3,8,./stim/images/prob_100_1.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_1.png,0,./stim/images/exposure_75_1.png,optimist,./stim/audio/happy_might2_s1.mp3,8,./stim/images/exposure_10_1.png
You'll probably get one.,1,probably,aisle,1,0,./stim/text/text-2.png,./stim/images/exposure_40_8.png,1,./stim/images/exposure_40_8.png,optimist,./stim/audio/happy_probably2_s1.mp3,8,./stim/images/prob_100_1.png
You might get one.,1,might,window,1,0,./stim/text/text-1.png,./stim/images/exposure_25_2.png,1,./stim/images/exposure_25_2.png,optimist,./stim/audio/happy_might1_s1.mp3,8,./stim/images/exposure_90_2.png
You'll get one.,1,bare,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_60_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s1.mp3,8,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,aisle,-1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_40_5.png,optimist,./stim/audio/happy_probably2_s1.mp3,8,./stim/images/exposure_40_5.png
You'll probably get one.,1,probably,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_40_4.png,0,./stim/images/exposure_40_4.png,optimist,./stim/audio/happy_probably2_s1.mp3,8,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_40_1.png,0,./stim/images/exposure_40_1.png,optimist,./stim/audio/happy_probably2_s1.mp3,8,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_60_6.png,optimist,./stim/audio/happy_probably1_s2.mp3,9,./stim/images/exposure_60_6.png
You might get one.,1,might,aisle,-1,1,./stim/text/text-2.png,./stim/images/exposure_10_2.png,0,./stim/images/exposure_75_2.png,optimist,./stim/audio/happy_might2_s2.mp3,9,./stim/images/exposure_75_2.png
You'll probably get one.,1,probably,aisle,-1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_40_7.png,optimist,./stim/audio/happy_probably2_s2.mp3,9,./stim/images/exposure_40_7.png
You'll get one.,1,bare,window,-1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,9,./stim/images/exposure_60_8.png
You might get one.,1,might,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_25_8.png,0,./stim/images/exposure_25_8.png,optimist,./stim/audio/happy_might1_s2.mp3,9,./stim/images/exposure_90_8.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_8.png,0,./stim/images/exposure_75_8.png,optimist,./stim/audio/happy_might2_s2.mp3,9,./stim/images/exposure_10_8.png
You might get one.,1,might,aisle,1,0,./stim/text/text-2.png,./stim/images/exposure_75_10.png,1,./stim/images/exposure_75_10.png,optimist,./stim/audio/happy_might2_s2.mp3,9,./stim/images/exposure_10_10.png
You'll get one.,1,bare,window,1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,9,./stim/images/exposure_60_6.png
You'll probably get one.,1,probably,aisle,-1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_40_2.png,optimist,./stim/audio/happy_probably2_s2.mp3,9,./stim/images/exposure_40_2.png
You'll probably get one.,1,probably,aisle,1,0,./stim/text/text-2.png,./stim/images/exposure_40_10.png,1,./stim/images/exposure_40_10.png,optimist,./stim/audio/happy_probably2_s2.mp3,9,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_60_8.png,0,./stim/images/exposure_60_8.png,optimist,./stim/audio/happy_probably1_s2.mp3,9,./stim/images/prob_100_1.png
You might get one.,1,might,window,1,1,./stim/text/text-1.png,./stim/images/exposure_90_6.png,1,./stim/images/exposure_25_6.png,optimist,./stim/audio/happy_might1_s2.mp3,9,./stim/images/exposure_25_6.png
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_7.png,0,./stim/images/exposure_75_7.png,optimist,./stim/audio/happy_might2_s2.mp3,9,./stim/images/exposure_10_7.png
You might get one.,1,might,window,1,0,./stim/text/text-1.png,./stim/images/exposure_25_10.png,1,./stim/images/exposure_25_10.png,optimist,./stim/audio/happy_might1_s2.mp3,9,./stim/images/exposure_90_10.png
You'll probably get one.,1,probably,window,1,0,./stim/text/text-1.png,./stim/images/exposure_60_10.png,1,./stim/images/exposure_60_10.png,optimist,./stim/audio/happy_probably1_s2.mp3,9,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,9,./stim/images/exposure_60_10.png
You might get one.,1,might,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_25_7.png,0,./stim/images/exposure_25_7.png,optimist,./stim/audio/happy_might1_s2.mp3,9,./stim/images/exposure_90_7.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_7.png,optimist,./stim/audio/happy_probably1_s2.mp3,9,./stim/images/exposure_60_7.png
You'll probably get one.,1,probably,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_40_8.png,0,./stim/images/exposure_40_8.png,optimist,./stim/audio/happy_probably2_s2.mp3,9,./stim/images/prob_100_1.png
You'll get one.,1,bare,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_60_2.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,9,./stim/images/prob_100_1.png
You'll probably get one.,1,probably,aisle,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_40_6.png,optimist,./stim/audio/happy_probably2_s2.mp3,9,./stim/images/exposure_40_6.png
You might get one.,1,might,window,-1,0,./stim/text/text-1.png,./stim/images/exposure_25_2.png,0,./stim/images/exposure_25_2.png,optimist,./stim/audio/happy_might1_s2.mp3,9,./stim/images/exposure_90_2.png
You might get one.,1,might,aisle,1,1,./stim/text/text-2.png,./stim/images/exposure_10_6.png,1,./stim/images/exposure_75_6.png,optimist,./stim/audio/happy_might2_s2.mp3,9,./stim/images/exposure_75_6.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_2.png,optimist,./stim/audio/happy_probably1_s2.mp3,9,./stim/images/exposure_60_2.png
You'll get one.,1,bare,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_60_7.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,9,./stim/images/prob_100_1.png
